"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2575|Cadmium as Cd - soluble (ug/L)|UT|Micrograms/Litre|Cadmium as Cd - soluble (ug/L)||0|0|1|.00001
2601|Chromium as Cr - total|MGL|Milligrams/Litre|Chromium as Cr - total (Milligrams/Litre||0|0|0|.00001
2601.01|Chromium as Cr - total (lower LOR)|MGL|Milligrams/Litre|Chromium Total|ICPAES|.002|.1|3|.00001
2601.02|Chromium as Cr - total (finer LOR)|MGL|Milligrams/Litre|Chromium|ICP-MS|0|0|4|.00001
2601.2|Chromium as Cr - total|MGL|Milligrams/Litre|Chromium as Cr - total (Milligrams/Litre||0|0|0|.00001
2602|Chromium as Cr - soluble|MGL|Milligrams/Litre|Chromium as Cr - soluble (Milligrams/Lit||0|0|0|.00001
2602.02|Chromium as Cr - soluble (finer LOR)|MGL|Milligrams/Litre|Chromium Dissolved|ICP-MS|0|0|4|.00001
2605|Chromium as Cr - total|UT|Micrograms/Litre|Chromium as Cr tot (ug/L)||0|0|0|.00001
2611|Cobalt as Co - total|MGL|Milligrams/Litre|Cobalt as Co - total (Milligrams/Litre)||0|0|0|.00001
2611.2|Cobalt as Co - total|MGL|Milligrams/Litre|Cobalt as Co - total (Milligrams/Litre)||0|0|3|.00001
2621|Copper as Cu - total|MGL|Milligrams/Litre|Copper as Cu - total (Milligrams/Litre)||0|0|0|.00001
2621.01|Copper as Cu - total (lower LOR)|MGL|Milligrams/Litre|Copper total|ICPAES|.005|5|3|.00001
2621.02|Copper as Cu - total (finer LOR)|MGL|Milligrams/Litre|Copper|ICP-MS|0|0|3|.00001
2621.2|Copper as Cu - total|MGL|Milligrams/Litre|Copper as Cu - total (Milligrams/Litre)||0|0|0|.00001
2622|Copper as Cu - soluble|MGL|Milligrams/Litre|Copper as Cu soluble mg/L||0|0|2|.00001
2622.02|Copper as Cu - soluble (finer LOR)|MGL|Milligrams/Litre|Copper Dissolved|ICP-MS|0|0|3|.00001
2624|Copper as Cu - total|UT|Micrograms/Litre|Copper as Cu total (ug/L)||0|0|0|.00001
2661|Iodine as I|MGL|Milligrams/Litre|Iodine as I (Milligrams/Litre)||0|0|0|.00001
2671.2|Iodide as I|MGL|Milligrams/Litre|Iodide as I (Milligrams/Litre)||0|0|2|.00001
2681|Iron as Fe - total|MGL|Milligrams/Litre|Iron as Fe - total (Milligrams/Litre)||0|0|0|.00001
2681.01|Iron as Fe - total (lower LOR)|MGL|Milligrams/Litre|Iron total|ICPAES|.01|125|2|.00001
2681.02|Iron as Fe - total (finer LOR)|MGL|Milligrams/Litre|Iron|ICP-MS|0|0|3|.00001
2681.2|Iron as Fe - total|MGL|Milligrams/Litre|Iron as Fe - total (Milligrams/Litre)||0|0|0|.00001
2682|Iron as Fe - soluble|MGL|Milligrams/Litre|Iron as Fe soluble (mg/L)||0|0|2|.00001
2682.02|Iron as Fe - soluble (finer LOR)|MGL|Milligrams/Litre|Iron Dissolved|ICP-MS|0|0|3|.00001
2684|Iron as Fe - total|UT|Micrograms/Litre|Iron as Fe total (ug/L)||0|0|-1|.00001
2685|Iron as Fe - soluble ug/L|UT|Micrograms/Litre|Iron as Fe - soluble (Micrograms/Litre)||0|0|-1|.00001
2690.2|Iron(II) Ferrozine|MGL|Milligrams/Litre|Fe(II)|W_FERROZ|0|0|5|.000001
2691|Lead as Pb - total|MGL|Milligrams/Litre|Lead as Pb - total (Milligrams/Litre)||0|0|0|.00001
